theta_h,3a,3b,3c,3d,3e
0.0,1.0,0.0,0.0,0.0,1.0
0.09817477042468103,0.9945100745850449,-0.0,0.0,0.0,0.9960100524168193
0.19634954084936207,0.9795798919153925,-0.0006018179285993809,0.0,0.0,0.9794756091394045
0.2945243112740431,0.9506517977140581,-0.003261978445564305,0.0,0.0,0.9135631456615486
0.39269908169872414,0.9033455060381418,-0.00834997322577488,0.0,0.0,0.8596674343915862
0.4908738521234052,0.8318042982503144,-0.014814959506810737,0.0,0.0,0.7872341711792574
0.5890486225480862,0.7294380239790798,-0.023104035818227283,0.0,0.0,0.5671829053427477
0.6872233929727672,0.5987364783316286,-0.027082908315825736,0.0,0.0,0.37584624196044797
0.7853981633974483,0.452521316701036,-0.010017800128857394,0.0,0.0,0.24223410206247137
0.8835729338221293,0.30727824163165374,0.03319634116296167,-0.002203120041304962,0.0,0.0890241316895572
0.9817477042468103,0.18178763925477515, 0.09632882705793715,-0.009771500968821714,-0.0018826820315725559,0.0153450735893281
1.0799224746714913,0.09076602819792919,0.180697392474357,-0.04154889559545827,-0.015124407626718527,0.0
1.1780972450961724,0.035192761431296196,0.32005499221565786,-0.13652677775798924,-0.06746726637937396,0.0
1.2762720155208536,0.012438087781776616,0.5220219400796182,-0.33071670351574917,-0.22240026181219025,0.0
1.3744467859455345,0.0024239072724697927,0.7500259288966415,-0.6156706968300094,-0.5170278505536019,0.0
1.4726215563702154,2.951692522092892e-05,0.9303213565401343,-0.8863240922027122,-0.8486446430753396,0.0
1.5707963267948966,0.0,1.0,-1.0,-1.0,0.0
