theta_h,4b,4c,4d,5a,5b
0.0,-0.0,0.0,0.0,0.9999999999932403,1.0000000000025264
0.09817477042468103,-2.4830256949698106e-05,6.144776885288888e-10,5.083365140068644e-16,0.9953241013484296,0.9959700150652628
0.19634954084936207,-0.0006011100059366347,1.2281371689847832e-07,6.597759284255381e-11,0.9813246817860813,0.9795883500380227
0.2945243112740431,-0.0029949821930674607,1.0928004626215262e-06,8.78982441146301e-09,0.9520545889787709,0.9247525079897679
0.39269908169872414,-0.007714800043738411,2.9328776500599762e-06,-1.0297071923756098e-07,0.8986065625529659,0.8496196036814138
0.4908738521234052,-0.014620526468742753,9.668300755464163e-06,-2.1517008886226936e-06,0.8271425221051604,0.7960777173090037
0.5890486225480862,-0.023391033972292988,3.077248805479602e-05,-1.3568739248644292e-05,0.7438794886087182,0.6862190936194188
0.6872233929727672,-0.02812403752659717,3.7731225265525887e-05,-4.721383912526362e-05,0.6319903745447147,0.5180203481935922
0.7853981633974483,-0.012777216320176334,9.001843019113058e-10,-8.771627480605482e-05,0.47832573827658514,0.26516343141630366
0.8835729338221293,0.03148480752050552,-0.0008861837501724206,-0.00018896031608637691,0.28881385880684307,0.092325954077608
0.9817477042468103,0.09440067050885115,-0.007462376632965844,-0.0016670507197066998,0.12352428782905475,0.017257603196657385
1.0799224746714913,0.17900289282892037,-0.03862193845174496,-0.012766081890501761,0.03608083918575209,0.0012475319672375917
1.1780972450961724,0.3175607761624309,-0.1334506435780209,-0.06517971557999776,0.0075848806195208,2.205594500992447e-05
1.2762720155208536,0.5213756028762108,-0.3302744558605509,-0.22163150691359043,0.0011588364491746884,-7.977759573639014e-21
1.3744467859455345,0.7490270945973909,-0.6151785800160593,-0.5164027636665821,8.620445199573345e-05,4.727010841635816e-17
1.4726215563702154,0.9303109982805313,-0.8863112897735652,-0.8486253659620172,8.187076791785369e-07,-5.2157120059984924e-23
1.5707963267948966,0.9999999999989229,-0.9999999999940817,-1.0,3.320901243145016e-120,2.803466784705108e-217
