theta_h,4b,4c,4d,5a,5b
0.0,-0.0,0.0,0.0,1.0000715255737305,1.0000145435333252
0.09817477042468103,-3.35503736831488e-05,2.3953869642902682e-09,3.3828863981826545e-15,0.9953208565711975,0.9955850839614868
0.19634954084936207,-0.0006130472315901352,4.5532908768873605e-07,4.794047410034756e-10,0.9811486005783081,0.9787507057189941
0.2945243112740431,-0.0030202447636721035,1.105746193282819e-06,8.547347007899183e-09,0.9517635703086853,0.9258077144622803
0.39269908169872414,-0.007863748423083716,2.6466514399688385e-06,-1.1004962338923564e-07,0.8980252146720886,0.8494130969047546
0.4908738521234052,-0.014620526468741958,9.668300755472364e-06,-2.1481927189186285e-06,0.8276254534721375,0.797005832195282
0.5890486225480862,-0.023391033972292006,3.0772488054826706e-05,-1.3570949706521487e-05,0.7437534928321838,0.6808770298957825
0.6872233929727672,-0.02812403752659659,3.773122526556578e-05,-4.721383912531312e-05,0.6312572956085205,0.511045515537262
0.7853981633974483,-0.01277721632017821,-5.267424933649127e-07,-8.771627480615205e-05,0.47817423939704895,0.2685871422290802
0.8835729338221293,0.031484807520500396,-0.0008861837501732322,-0.00018896031608655665,0.28877580165863037,0.0943908616900444
0.9817477042468103,0.09440067050884948,-0.007462376632972418,-0.0016670507197084547,0.12353366613388062,0.016264472156763077
1.0799224746714913,0.17900289282890167,-0.038621938451770366,-0.012766081890515143,0.03607993200421333,0.0006644048844464123
1.1780972450961724,0.31756077616239486,-0.13345064357812278,-0.06517971558006111,0.007585278246551752,1.249899924005149e-06
1.2762720155208536,0.5213756028762034,-0.3302744558608975,-0.2216315069138643,0.001158969011157751,1.2992994180560657e-10
1.3744467859455345,0.7490270945973906,-0.6151785800165699,-0.5164027636143849,8.627480565337464e-05,-9.515916471754368e-16
1.4726215563702154,0.9303109982804602,-0.8863112903561337,-0.8486253641723853,8.099175943243608e-07,-8.076651277691716e-21
1.5707963267948966,0.9999999999999359,-0.9999999999999261,-0.9999999999998911,1.1210387714598537e-44,-0.0
